"Date","Team","Acquired","Relinquished","Notes"
"2021-05-22","Heat","• Kendrick Nunn","","returned to lineup"
"2021-05-22","Heat","• Omer Yurtseven","","activated from IL"
"2021-05-22","Mavericks","• Maximilian Kleber / Maxi Kleber","","returned to lineup"
"2021-05-22","Nets","• James Harden","","returned to lineup"
"2021-05-22","Nets","• Joe Harris","","activated from IL"
"2021-05-23","76ers","• Ben Simmons","","activated from IL"
"2021-05-23","76ers","• Danny Green","","activated from IL"
"2021-05-23","76ers","• Joel Embiid","","activated from IL"
"2021-05-23","76ers","• Matisse Thybulle","","activated from IL"
"2021-05-23","76ers","• Seth Curry","","activated from IL"
"2021-05-23","76ers","• Tobias Harris","","activated from IL"
"2021-05-23","Hawks","• Bogdan Bogdanovic","","activated from IL"
"2021-05-23","Hawks","• Clint Capela","","activated from IL"
"2021-05-23","Hawks","• Danilo Gallinari","","activated from IL"
"2021-05-23","Hawks","• Kevin Huerter","","returned to lineup"
"2021-05-23","Hawks","• Kris Dunn","","returned to lineup"
"2021-05-23","Suns","• Jae Crowder","","returned to lineup"
"2021-05-16","Pistons","• Cory Joseph","","returned to lineup"
"2021-05-16","Raptors","","• Jalen Harris","sore left foot (out for season)"
"2021-05-16","Spurs","","• DaQuan Jeffries","placed on IL with NBA health and safety protocols (out for season)"
"2021-05-16","Spurs","• Dejounte Murray","","returned to lineup"
"2021-05-16","Spurs","• Rudy Gay","","returned to lineup"
"2021-05-16","Suns","","• Jae Crowder","right ankle injury (DTD)"
"2021-05-16","Wizards","• Bradley Beal","","activated from IL"
"2021-05-18","Bucks","","• Thanasis Antetokounmpo","right knee injury (DTD)"
"2021-05-18","Celtics","• Kemba Walker","","activated from IL"
"2021-05-18","Celtics","• Robert Williams III","","activated from IL"
"2021-05-18","Hornets","• Cody Martin","","activated from IL"
"2021-05-18","Hornets","• Gordon Hayward","","activated from IL"
"2021-05-18","Pacers","","• Caris LeVert","placed on IL with NBA health and safety protocols (out for season)"
"2021-05-22","Bucks","• Axel Toupane","","activated from IL"
"2021-05-22","Bucks","• Bobby Portis","","returned to lineup"
"2021-05-22","Bucks","• Brook Lopez","","returned to lineup"
"2021-05-22","Bucks","• Bryn Forbes","","returned to lineup"
"2021-05-22","Bucks","• Donte DiVincenzo","","returned to lineup"
"2021-05-22","Bucks","• Giannis Antetokounmpo","","returned to lineup"
"2021-05-22","Bucks","• Jrue Holiday","","returned to lineup"
"2021-05-22","Bucks","• Khris Middleton","","activated from IL"
"2021-05-22","Clippers","• Amir Coffey","","activated from IL"
"2021-05-22","Heat","• Andre Iguodala","","returned to lineup"
"2021-05-22","Heat","• Goran Dragic","","returned to lineup"
"2021-05-22","Heat","• Jimmy Butler","","returned to lineup"
"2021-05-16","Clippers","• Reggie Jackson (Shon)","","activated from IL"
"2021-05-16","Grizzlies","• Brandon Clarke","","returned to lineup"
"2021-05-16","Grizzlies","• Dillon Brooks","","returned to lineup"
"2021-05-16","Grizzlies","• Ja Morant","","activated from IL"
"2021-05-16","Grizzlies","• Jaren Jackson Jr.","","activated from IL"
"2021-05-16","Grizzlies","• Jonas Valanciunas","","returned to lineup"
"2021-05-16","Grizzlies","• Kyle Anderson","","returned to lineup"
"2021-05-16","Hawks","","• Bogdan Bogdanovic","placed on IL with left hamstring injury"
"2021-05-16","Hawks","","• Brandon Goodwin","placed on IL with respiratory condition (out for season)"
"2021-05-16","Hawks","","• Clint Capela","placed on IL with left Achilles injury"
"2021-05-16","Hawks","","• Danilo Gallinari","placed on IL with sore lower back"
"2021-05-16","Hawks","","• Kevin Huerter","sore left ankle (DTD)"
"2021-05-16","Hawks","","• Kris Dunn","left ankle injury (DTD)"
"2021-05-16","Hawks","• Tony Snell","","activated from IL"
"2021-05-16","Heat","","• Andre Iguodala","left hip injury (DTD)"
"2021-05-16","Heat","","• Goran Dragic","back injury (DTD)"
"2021-05-16","Heat","","• Kendrick Nunn","left calf injury (DTD)"
"2021-05-16","Kings","","• Justin James","sprained right ankle (out for season)"
"2021-05-16","Lakers","• Jared Dudley","","activated from IL"
"2021-05-16","Magic","","• Wendell Carter Jr.","left eye injury (out for season)"
"2021-05-16","Nets","","• James Harden","right hamstring injury (DTD)"
"2021-05-16","Nuggets","• Aaron Gordon","","activated from IL"
"2021-05-16","Pacers","","• Aaron Holiday","placed on IL with right big toe injury (out for season)"
"2021-05-16","Pacers","• Domantas Sabonis / Domas Sabonis","","returned to lineup"
"2021-05-16","Pistons","","• Deividas Sirvydis","placed on IL with tibia injury (out for season)"
"2021-05-15","Pacers","• Caris LeVert","","returned to lineup"
"2021-05-15","Rockets","","• Khyri Thomas","placed on IL with right Achilles injury (out for season)"
"2021-05-15","Spurs","","• Dejounte Murray","sore lower back (DTD)"
"2021-05-15","Spurs","","• Rudy Gay","right heel injury (DTD)"
"2021-05-15","Warriors","• Andrew Wiggins","","returned to lineup"
"2021-05-15","Warriors","• Draymond Green","","returned to lineup"
"2021-05-15","Warriors","• Stephen Curry","","returned to lineup"
"2021-05-16","76ers","","• Ben Simmons","placed on IL with back injury"
"2021-05-16","76ers","","• Danny Green","placed on IL with left hip injury"
"2021-05-16","76ers","","• Joel Embiid","placed on IL with illness"
"2021-05-16","76ers","","• Seth Curry","placed on IL with hip injury"
"2021-05-16","76ers","","• Tobias Harris","placed on IL with right knee injury"
"2021-05-16","Bucks","","• Bobby Portis","patellar tendinitis in right knee (DTD)"
"2021-05-16","Bucks","","• Brook Lopez","spine injury (DTD)"
"2021-05-16","Bucks","","• Bryn Forbes","patellar tendinitis in left knee (DTD)"
"2021-05-16","Bucks","","• Donte DiVincenzo","right big toe injury (DTD)"
"2021-05-16","Bucks","","• Giannis Antetokounmpo","sore left knee (DTD)"
"2021-05-16","Bucks","","• Jrue Holiday","right hip injury (DTD)"
"2021-05-16","Bucks","","• Khris Middleton","placed on IL with sore left ankle"
"2021-05-16","Cavaliers","","• Darius Garland","left ankle injury (out for season)"
"2021-05-16","Cavaliers","","• Isaiah Hartenstein","placed on IL with concussion (out for season)"
"2021-05-16","Celtics","","• Evan Fournier","right knee injury (out for season)"
"2021-05-16","Celtics","","• Jayson Tatum","left ankle injury (out for season)"
"2021-05-16","Clippers","","• DeMarcus Cousins","sore left foot (DTD)"
"2021-05-16","Clippers","• Patrick Beverley","","activated from IL"
"2021-05-14","Nuggets","• Monte Morris","","activated from IL"
"2021-05-14","Pelicans","","• Wesley Iwundu / Wes Iwundu","sprained left shoulder (out for season)"
"2021-05-14","Pistons","• Hamidou Diallo","","activated from IL"
"2021-05-14","Raptors","","• Yuta Watanabe","sore right ankle (out for season)"
"2021-05-14","Thunder","","• Josh Hall","placed on IL with NBA health and safety protocols (out for season)"
"2021-05-14","Thunder","• Ty Jerome","","activated from IL"
"2021-05-14","Warriors","","• Andrew Wiggins","sore left knee (DTD)"
"2021-05-14","Warriors","","• Draymond Green","finger injury (DTD)"
"2021-05-14","Warriors","","• Kelly Oubre Jr.","placed on IL with sore left wrist"
"2021-05-14","Warriors","","• Stephen Curry","tailbone injury (DTD)"
"2021-05-14","Warriors","• Eric Paschall","","returned to lineup"
"2021-05-14","Wizards","","• Raulzinho Neto / Raul Neto","placed on IL with left hamstring injury (out for season)"
"2021-05-15","Blazers","• Nassir Little","","activated from IL"
"2021-05-15","Bulls","","• Tomas Satoransky","placed on IL with sprained left ankle (out for season)"
"2021-05-15","Bulls","","• Zach LaVine","placed on IL with right knee injury (out for season)"
"2021-05-15","Heat","","• Jimmy Butler","tightness in lower back (DTD)"
"2021-05-15","Heat","","• Omer Yurtseven","placed on IL with NBA health and safety protocols"
"2021-05-15","Hornets","• Miles Bridges","","activated from IL"
"2021-05-15","Knicks","• Derrick Rose","","activated from IL"
"2021-05-15","Lakers","• Alex Caruso","","activated from IL"
"2021-05-15","Lakers","• Anthony Davis","","activated from IL"
"2021-05-15","Lakers","• Dennis Schröder","","activated from IL"
"2021-05-15","Lakers","• LeBron James","","activated from IL"
"2021-05-15","Nets","• Kyrie Irving","","activated from IL"
"2021-05-15","Pacers","","• Domantas Sabonis / Domas Sabonis","left quadriceps injury (DTD)"
"2021-05-13","Suns","","• Deandre Ayton","sore left knee (DTD)"
"2021-05-13","Thunder","• Theo Maledon","","activated from IL"
"2021-05-13","Rockets","• DaQuan Jeffries","","returned to lineup"
"2021-05-14","Cavaliers","","• Kevin Love","right calf injury (out for season)"
"2021-05-14","Cavaliers","• Cedi Osman","","returned to lineup"
"2021-05-14","Cavaliers","• Darius Garland","","activated from IL"
"2021-05-14","Celtics","","• Kemba Walker","placed on IL with cervical injury"
"2021-05-14","Celtics","","• Tristan Thompson","placed on IL with pectoral injury (out for season)"
"2021-05-14","Clippers","","• Patrick Beverley","placed on IL with left hand injury"
"2021-05-14","Clippers","","• Reggie Jackson (Shon)","placed on IL with left Achilles injury"
"2021-05-14","Clippers","• Serge Ibaka","","activated from IL"
"2021-05-14","Grizzlies","","• Brandon Clarke","right thigh injury (DTD)"
"2021-05-14","Grizzlies","","• Dillon Brooks","sore left knee (DTD)"
"2021-05-14","Grizzlies","","• Ja Morant","placed on IL with sore back"
"2021-05-14","Grizzlies","","• Jaren Jackson Jr.","placed on IL with left knee injury"
"2021-05-14","Grizzlies","","• Jonas Valanciunas","sore back (DTD)"
"2021-05-14","Grizzlies","","• Kyle Anderson","right thumb injury (DTD)"
"2021-05-14","Jazz","• Juwan Morgan","","activated from IL"
"2021-05-14","Jazz","• Mike Conley Jr.","","activated from IL"
"2021-05-14","Kings","","• Hassan Whiteside","tightness in lower back (out for season)"
"2021-05-14","Kings","","• Richaun Holmes","placed on IL with sore right knee (out for season)"
"2021-05-14","Kings","• Robert Woodard II","","activated from IL"
"2021-05-14","Magic","• Mohamed Bamba / Mo Bamba","","returned to lineup"
"2021-05-14","Mavericks","","• Maximilian Kleber / Maxi Kleber","right Achilles injury (DTD)"
"2021-05-14","Nuggets","","• Aaron Gordon","placed on IL with right calf injury"
"2021-05-12","Lakers","","• Alex Caruso","placed on IL with sore right foot"
"2021-05-12","Lakers","","• Anthony Davis","placed on IL with left adductor injury"
"2021-05-12","Mavericks","","• J.J. Redick","placed on IL with right heel injury (out for season)"
"2021-05-12","Mavericks","• Kristaps Porzingis","","activated from IL"
"2021-05-12","Nets","","• Joe Harris","placed on IL with sore left hip / glute muscle injury"
"2021-05-12","Nets","","• Kyrie Irving","placed on IL with facial injury"
"2021-05-12","Nets","• James Harden","","activated from IL"
"2021-05-12","Pelicans","","• Lonzo Ball","sprained right thumb (out for season)"
"2021-05-12","Rockets","","• Danuel House","sore right ankle (out for season)"
"2021-05-12","Rockets","","• DaQuan Jeffries","sore right ankle (DTD)"
"2021-05-13","76ers","• Furkan Korkmaz","","activated from IL"
"2021-05-13","76ers","• Joel Embiid","","activated from IL"
"2021-05-13","76ers","• Shake Milton","","returned to lineup"
"2021-05-13","Bulls","","• Daniel Theis","placed on IL with bruised right hip (out for season)"
"2021-05-13","Grizzlies","• Jaren Jackson Jr.","","activated from IL"
"2021-05-13","Grizzlies","• Jonas Valanciunas","","activated from IL"
"2021-05-13","Hawks","","• Tony Snell","placed on IL with right Achilles injury"
"2021-05-13","Hawks","• De'Andre Hunter","","activated from IL"
"2021-05-13","Knicks","","• Derrick Rose","placed on IL with sprained left ankle"
"2021-05-13","Knicks","• Alec Burks","","activated from IL"
"2021-05-13","Knicks","• Immanuel Quickley","","activated from IL"
"2021-05-13","Nuggets","","• Monte Morris","placed on IL with right hamstring injury"
"2021-05-13","Pacers","","• Caris LeVert","bruised right knee (DTD)"
"2021-05-13","Raptors","• Aron Baynes","","returned to lineup"
"2021-05-13","Spurs","","• Luka Samanic","placed on IL with fractured hand (out for season)"
